,Time,Qubi,Zag1,Zag2,Zq0r,Zq0i,Zq1r,Zq1i
2,0,1,0.0,0.0,1.0,0.0,0.0,0.0
3,0,2,0.0,0.0,1.0,0.0,0.0,0.0
1,0,3,180.0,0.0,0.0,0.0,1.0,0.0
4,0,4,0.0,0.0,1.0,0.0,0.0,0.0
0,0,5,45.11,72.63,0.4318,0.7503,0.2497,0.4339
5,0,6,0.0,0.0,1.0,0.0,0.0,0.0
8,1,1,90.0,0.0,0.7071,0.0,0.7071,0.0
9,1,2,90.0,0.0,0.7071,0.0,0.7071,0.0
6,1,3,90.0,0.0,0.7071,0.0,-0.7071,0.0
10,1,4,90.0,0.0,0.7071,0.0,0.7071,0.0
7,1,5,11.99,58.32,0.4819,0.8374,0.1288,0.2237
11,1,6,90.0,0.0,0.7071,0.0,0.7071,0.0
14,2,1,90.0,0.0,0.0,-0.7071,0.0,0.7071
15,2,2,90.0,0.0,0.7071,0.0,-0.7071,0.0
12,2,3,90.0,0.0,-0.7071,0.0,0.7071,0.0
16,2,4,90.0,0.0,0.0,-0.7071,0.0,0.7071
13,2,5,11.99,19.5,0.4819,0.8374,-0.1288,-0.2237
17,2,6,90.0,0.0,0.7071,0.0,0.7071,0.0
20,3,1,90.0,0.0,0.0,-0.7071,0.0,0.7071
21,3,2,90.0,-45.0,0.7071,0.0,0.0,-0.7071
18,3,3,90.0,0.0,-0.7071,0.0,0.7071,0.0
22,3,4,90.0,9.32,0.0,-0.7071,-0.5,0.5
19,3,5,11.99,19.5,0.4819,0.8374,-0.1288,-0.2237
23,3,6,90.0,0.0,0.7071,0.0,0.7071,0.0
26,4,1,90.0,0.0,0.4598,0.5372,-0.4598,-0.5372
27,4,2,90.0,34.19,0.2451,0.6633,0.6633,-0.2451
24,4,3,90.0,0.0,-0.2451,0.6633,0.2451,0.6633
28,4,4,90.0,6.12,-0.4598,0.5372,0.0547,-0.705
25,4,5,120.07,75.59,0.2879,0.5001,0.4074,0.7079
29,4,6,90.0,-58.52,0.2451,-0.6633,0.2451,-0.6633
32,5,1,90.0,0.0,0.4598,0.5372,-0.4598,-0.5372
33,5,2,90.0,76.58,-0.6175,-0.3445,-0.6175,-0.3445
30,5,3,90.0,0.0,-0.2451,0.6633,0.2451,0.6633
34,5,4,90.0,-38.68,-0.4598,0.5372,-0.6881,-0.1628
31,5,5,120.07,75.59,0.2879,0.5001,0.4074,0.7079
35,5,6,90.0,-58.52,0.2451,-0.6633,0.2451,-0.6633
38,6,1,90.0,0.0,0.4598,0.5372,-0.4598,-0.5372
39,6,2,90.0,76.58,-0.6175,-0.3445,-0.6175,-0.3445
36,6,3,90.0,0.0,-0.2451,0.6633,0.2451,0.6633
40,6,4,90.0,-38.68,-0.4598,0.5372,-0.6881,-0.1628
37,6,5,120.07,75.59,0.2879,0.5001,0.4074,0.7079
41,6,6,90.0,-58.52,0.2451,-0.6633,0.2451,-0.6633
44,7,1,90.0,0.0,0.4598,0.5372,-0.4598,-0.5372
45,7,2,90.0,76.58,-0.6175,-0.3445,-0.6175,-0.3445
42,7,3,90.0,0.0,-0.2451,0.6633,0.2451,0.6633
46,7,4,153.38,60.46,0.3137,0.0503,0.6237,0.4388
43,7,5,120.07,75.59,0.2879,0.5001,0.4074,0.7079
47,7,6,93.07,-42.55,0.6642,-0.5531,0.8905,0.0827
50,8,1,90.0,0.0,0.4598,0.5372,-0.4598,-0.5372
51,8,2,90.0,76.58,-0.6175,-0.3445,-0.6175,-0.3445
48,8,3,90.0,0.0,-0.2451,0.6633,0.2451,0.6633
52,8,4,93.07,-42.55,0.6642,-0.5531,0.8905,0.0827
49,8,5,120.07,75.59,0.2879,0.5001,0.4074,0.7079
53,8,6,153.38,60.46,0.3137,0.0503,0.6237,0.4388
57,9,1,90.0,0.0,0.4598,0.5372,-0.4598,-0.5372
58,9,2,90.0,76.58,-0.6175,-0.3445,-0.6175,-0.3445
54,9,3,93.07,-42.55,0.6642,-0.5531,0.8905,0.0827
55,9,4,90.0,0.0,-0.2451,0.6633,0.2451,0.6633
56,9,5,120.07,75.59,0.2879,0.5001,0.4074,0.7079
59,9,6,153.38,60.46,0.3137,0.0503,0.6237,0.4388
62,10,1,90.0,0.0,0.4598,0.5372,-0.4598,-0.5372
63,10,2,90.0,76.58,-0.6175,-0.3445,-0.6175,-0.3445
60,10,3,93.07,-42.55,0.6642,-0.5531,0.8905,0.0827
64,10,4,90.0,0.0,-0.2451,0.6633,0.2451,0.6633
61,10,5,120.07,75.59,0.2879,0.5001,0.4074,0.7079
65,10,6,153.38,60.46,0.3137,0.0503,0.6237,0.4388
